Chuyên đề,Câu hỏi lớn của chuyên đề,Mã dạng,Dạng bài,Đọc vị — dấu hiệu trên đề,Phương pháp,Bước giải (việc → mục đích),Mẹo xử lý,Sai lầm đặc trưng
"Tác giả, tác phẩm & giai đoạn văn học","Tác phẩm này thuộc thời nào, dùng thủ pháp gì, và điều đó thay đổi cách hiểu ra sao?",lit.context,Gắn tác phẩm với giai đoạn văn học,"Đề hỏi tác giả, thời kỳ, trào lưu | Trích một đoạn quen thuộc và hỏi nó thuộc tác phẩm nào","Nhận diện qua ba dấu: đề tài, giọng điệu, và ngôn ngữ. Văn học 1930–1945 nói về số phận con người trong xã hội cũ; văn học 1945–1975 nói về kháng chiến và tập thể; văn học sau 1975 quay lại với cá nhân và đời thường.","1. Đọc đoạn trích, nhận diện đề tài. → Đề tài là dấu hiệu mạnh nhất về giai đoạn. | 2. Nghe giọng: bi thương, hào hùng, hay trầm tư đời thường? → Mỗi giai đoạn có một âm sắc chủ đạo. | 3. Nhìn lớp từ: từ Hán Việt trang trọng, từ khẩu ngữ, hay từ hiện đại? → Ngôn ngữ phản ánh thời đại rất trung thực. | 4. Đối chiếu với các tác phẩm đã học trong cùng chùm dấu hiệu. → Đề HSA hỏi trong phạm vi chương trình phổ thông.","Học theo CỤM chứ đừng học rời: nhóm các tác phẩm cùng giai đoạn, cùng đề tài lại với nhau. Khi gặp một đoạn lạ, bạn định vị được nó vào cụm nào thay vì phải nhớ chính xác từng bài.",Nhớ nhầm tác giả giữa các tác phẩm cùng đề tài trong một giai đoạn.
"Tác giả, tác phẩm & giai đoạn văn học","Tác phẩm này thuộc thời nào, dùng thủ pháp gì, và điều đó thay đổi cách hiểu ra sao?",lit.device,Nhận diện và phân tích thủ pháp,"Câu hỏi có ""biện pháp nghệ thuật"", ""thủ pháp"", ""hình ảnh"", ""chi tiết nghệ thuật"" | Trích một câu thơ hoặc một chi tiết truyện","Gọi tên thủ pháp là bước một; nói được TÁC DỤNG mới là câu trả lời. Công thức ba phần: thủ pháp gì → làm nổi bật điều gì → gợi cảm xúc gì ở người đọc.","1. Gọi đúng tên thủ pháp. → Sai tên thì mọi phân tích sau đều lệch. | 2. Chỉ ra nó tác động lên đối tượng nào trong câu. → Thủ pháp luôn phục vụ một hình ảnh cụ thể. | 3. Nêu hiệu quả: cụ thể hóa, nhấn mạnh, tạo nhịp, hay gợi liên tưởng. → Đây mới là phần đề chấm điểm. | 4. Nối với chủ đề chung của tác phẩm. → Một thủ pháp hay luôn phục vụ tư tưởng của bài, không đứng riêng.","Bốn thủ pháp xuất hiện nhiều nhất trong đề: so sánh, ẩn dụ, nhân hóa, điệp. Nắm chắc cách phân biệt ẩn dụ với so sánh (so sánh có từ so sánh, ẩn dụ thì không) là đã xử lý được phần lớn câu.","Chỉ gọi tên mà không nêu tác dụng. Câu hỏi hầu như luôn hỏi ""nhằm mục đích gì""."
"Tác giả, tác phẩm & giai đoạn văn học","Tác phẩm này thuộc thời nào, dùng thủ pháp gì, và điều đó thay đổi cách hiểu ra sao?",lit.character,Phân tích nhân vật và chi tiết,"Đề hỏi về tính cách, số phận, hoặc ý nghĩa một chi tiết | Trích một đoạn miêu tả hoặc đối thoại","Tính cách nhân vật được bộc lộ qua bốn kênh: hành động, lời nói, suy nghĩ, và cách người khác nhìn họ. Đọc đoạn trích để xem kênh nào đang được dùng, rồi rút kết luận từ đúng kênh đó.","1. Xác định đoạn trích đang miêu tả qua kênh nào. → Mỗi kênh cho một loại thông tin khác nhau về nhân vật. | 2. Nhặt các chi tiết cụ thể, không kết luận vội. → Chi tiết là bằng chứng; thiếu nó thì nhận xét thành cảm tính. | 3. Rút ra nét tính cách và nói được nó thể hiện ở chi tiết nào. → Kết luận phải truy ngược được về bằng chứng. | 4. Đặt nhân vật vào bối cảnh xã hội của tác phẩm. → Số phận nhân vật trong văn học hiện thực luôn là số phận của một tầng lớp.",Một chi tiết được nhắc lại nhiều lần trong tác phẩm gần như chắc chắn là chi tiết nghệ thuật quan trọng. Sự lặp lại là cách nhà văn ra hiệu.,"Áp đạo đức hiện đại lên nhân vật của một thời đại khác, thay vì đọc họ trong bối cảnh của họ."
Ngữ pháp & lỗi sai trong câu,"Câu này sai ở chỗ nào, và sửa thế nào cho đúng mà vẫn giữ ý?",gra.structure,Câu thiếu thành phần,"Câu bắt đầu bằng ""Qua…"", ""Với…"", ""Bằng…"" rồi đi thẳng vào vị ngữ | Đọc lên thấy lửng, không biết ai làm gì","Tìm chủ ngữ và vị ngữ. Nếu phần đầu câu là một cụm giới từ chỉ phương tiện hay phạm vi, nó KHÔNG phải chủ ngữ — và câu đang thiếu chủ ngữ thật.","1. Đặt câu hỏi ""Ai?"" hoặc ""Cái gì?"" cho động từ chính. → Không trả lời được nghĩa là thiếu chủ ngữ. | 2. Kiểm tra phần đầu câu có phải cụm giới từ không. → ""Qua tác phẩm cho thấy…"" là lỗi kinh điển: cụm giới từ bị dùng làm chủ ngữ. | 3. Sửa bằng một trong hai cách: bỏ giới từ đầu câu, hoặc thêm chủ ngữ. → Cả hai đều hợp lệ; chọn cách giữ được ý gốc. | 4. Đọc lại to trong đầu. → Tai bắt lỗi cấu trúc nhanh hơn mắt.","""Qua… cho thấy…"" và ""Với… đã chứng minh…"" là hai khuôn sai gặp nhiều nhất trong đề. Nhìn thấy chúng là gần như chắc chắn tìm được đáp án.",Tưởng cụm danh từ sau giới từ là chủ ngữ.
Ngữ pháp & lỗi sai trong câu,"Câu này sai ở chỗ nào, và sửa thế nào cho đúng mà vẫn giữ ý?",gra.logic,Lỗi logic trong câu,"Câu có cặp quan hệ từ: vì… nên, tuy… nhưng, không những… mà còn | Có phép liệt kê các thành phần không cùng loại","Kiểm tra hai điều: cặp quan hệ từ có dùng đúng cặp không, và quan hệ ý nghĩa giữa hai vế có khớp với cặp từ đó không. ""Tuy… nhưng"" đòi hỏi hai vế TRÁI chiều; dùng nó cho hai vế cùng chiều là lỗi logic dù ngữ pháp vẫn trơn.","1. Nhận diện cặp quan hệ từ trong câu. → Chúng tuyên bố một quan hệ cụ thể giữa hai vế. | 2. Đọc quan hệ thực giữa hai vế: nhân quả, tương phản, hay tăng tiến? → So sánh với quan hệ mà cặp từ tuyên bố. | 3. Nếu là câu liệt kê: kiểm tra các thành phần có cùng cấp bậc khái niệm không. → ""Tôi thích hoa hồng, hoa cúc và các loài hoa"" là lỗi bao hàm chéo. | 4. Sửa bằng cách đổi quan hệ từ hoặc điều chỉnh vế cho khớp. → Giữ nguyên ý người viết, chỉ chỉnh cấu trúc.","Trong câu liệt kê, hãy kiểm tra xem có phần tử nào BAO HÀM phần tử khác không. Đó là lỗi logic phổ biến nhất và cũng dễ bị bỏ qua nhất.",Chỉ nhìn ngữ pháp mà bỏ qua quan hệ ý nghĩa. Một câu có thể đúng ngữ pháp mà sai logic.
Ngữ pháp & lỗi sai trong câu,"Câu này sai ở chỗ nào, và sửa thế nào cho đúng mà vẫn giữ ý?",gra.reference,Lỗi quy chiếu và dùng từ,"Có đại từ ""nó"", ""họ"", ""điều này"" mà không rõ chỉ ai | Có từ Hán Việt bị dùng thừa hoặc sai nghĩa","Mỗi đại từ phải có đúng một đối tượng để chỉ. Nếu trong câu có hai danh từ mà đại từ có thể chỉ cả hai, đó là lỗi quy chiếu mơ hồ — dù người đọc vẫn đoán được.","1. Với mỗi đại từ, tìm danh từ nó thay thế. → Không tìm được hoặc tìm được nhiều hơn một là có lỗi. | 2. Kiểm tra từ Hán Việt có bị lặp nghĩa với từ thuần Việt bên cạnh không. → ""Ngày sinh nhật"" hay ""cây cổ thụ"" là lỗi thừa nghĩa quen thuộc. | 3. Kiểm tra từ có đúng sắc thái với văn cảnh không. → Từ trang trọng trong văn cảnh suồng sã là lỗi phong cách. | 4. Sửa bằng cách thay đại từ bằng danh từ cụ thể. → Rõ ràng luôn ưu tiên hơn ngắn gọn.","Các lỗi thừa nghĩa hay gặp trong đề: ""ngày sinh nhật"", ""cây cổ thụ"", ""tái lập lại"", ""đường quốc lộ"", ""nữ nhà văn nữ"". Thuộc danh sách này là nhận ra ngay.",Bỏ qua lỗi quy chiếu vì vẫn hiểu được câu. Hiểu được không có nghĩa là đúng chuẩn.
Từ vựng & nghĩa của từ,"Từ này mang nghĩa gì trong CHÍNH câu này, và sắc thái của nó có hợp văn cảnh không?",voc.context,Nghĩa của từ trong ngữ cảnh,Đề gạch chân một từ trong câu và hỏi nghĩa | Từ đó là từ nhiều nghĩa quen thuộc,"Che từ đó đi, đọc lại câu, rồi tự điền một từ của mình vào chỗ trống. Từ bạn nghĩ ra chính là nghĩa cần tìm — sau đó chọn phương án gần nó nhất. Lý do hiệu quả: nó ngăn bạn chọn theo nghĩa gốc quen thuộc thay vì nghĩa đang dùng.","1. Che từ được hỏi, đọc lại cả câu. → Buộc não làm việc với văn cảnh chứ không với ký ức về từ. | 2. Tự nghĩ một từ thay thế phù hợp. → Đây là dự đoán độc lập, chưa bị bốn phương án dẫn dắt. | 3. So bốn phương án với từ mình vừa nghĩ. → Phương án nào gần nhất thường là đáp án. | 4. Thay phương án đã chọn vào câu và đọc lại. → Kiểm tra cuối: câu phải mượt và giữ nguyên ý.","Từ Hán Việt thường có nghĩa hẹp và trang trọng hơn từ thuần Việt tương đương. Khi phân vân giữa hai phương án gần nghĩa, hãy chọn theo sắc thái của văn cảnh chứ không theo định nghĩa từ điển.","Chọn nghĩa gốc, nghĩa thông dụng nhất của từ, trong khi câu đang dùng nghĩa chuyển."
Từ vựng & nghĩa của từ,"Từ này mang nghĩa gì trong CHÍNH câu này, và sắc thái của nó có hợp văn cảnh không?",voc.pair,"Đồng nghĩa, trái nghĩa, gần nghĩa",Đề hỏi từ đồng nghĩa hoặc trái nghĩa với một từ cho trước | Bốn phương án đều liên quan tới cùng một trường nghĩa,"Không có hai từ hoàn toàn đồng nghĩa. Phân biệt bằng ba trục: mức độ (nhỏ – bé – tí), sắc thái (chết – mất – hi sinh), và phạm vi dùng (ăn – xơi – dùng bữa).","1. Xác định trường nghĩa chung của cả bốn phương án. → Chúng luôn cùng trường; khác biệt nằm ở sắc thái. | 2. Đặt từng phương án vào câu gốc. → Đây là phép thử trực tiếp nhất. | 3. Loại phương án lệch sắc thái với văn cảnh. → Từ trang trọng trong câu suồng sã, hoặc ngược lại, đều sai. | 4. Với câu hỏi trái nghĩa, kiểm tra cặp có đối xứng không. → Trái nghĩa thật phải cùng trục: cao – thấp, không phải cao – nhỏ.",Bẫy phổ biến nhất của câu trái nghĩa là để lẫn một từ ĐỒNG nghĩa vào bốn phương án. Đọc kỹ đề xem đang hỏi đồng hay trái trước khi nhìn phương án.,"Nhầm gần nghĩa với đồng nghĩa. ""Buồn"" và ""chán"" gần nghĩa nhưng không thay thế nhau được ở mọi câu."
Từ vựng & nghĩa của từ,"Từ này mang nghĩa gì trong CHÍNH câu này, và sắc thái của nó có hợp văn cảnh không?",voc.idiom,"Thành ngữ, tục ngữ, từ láy",Đề trích một thành ngữ và hỏi nghĩa hoặc hỏi trường hợp dùng | Hỏi phân biệt từ láy với từ ghép,"Thành ngữ có nghĩa bóng không suy ra được từ nghĩa các từ thành phần. Với từ láy, kiểm tra hai tiếng có lặp âm đầu hoặc vần không, VÀ có ít nhất một tiếng không có nghĩa độc lập.","1. Với thành ngữ: nhớ nghĩa bóng, đừng ghép nghĩa đen. → ""Nước đổ lá khoai"" không nói về nước hay khoai. | 2. Xác định thành ngữ đó dùng để khen, chê, hay mô tả. → Phần lớn câu hỏi thực chất hỏi sắc thái. | 3. Với từ láy: kiểm tra lặp âm và kiểm tra nghĩa của từng tiếng. → ""Xinh xắn"" là láy; ""xinh đẹp"" là ghép vì cả hai tiếng đều có nghĩa. | 4. Đặt vào câu để xác nhận. → Phép thử cuối cùng luôn là văn cảnh.","Từ ghép: cả hai tiếng đều có nghĩa và bổ sung nghĩa cho nhau. Từ láy: ít nhất một tiếng mất nghĩa khi đứng riêng, và hai tiếng có quan hệ về âm. Đây là ranh giới rõ nhất.","Coi mọi cặp từ có âm giống nhau là từ láy. ""Học hành"", ""đất đai"" là từ ghép có quan hệ âm ngẫu nhiên."
Biện pháp tu từ & phong cách,Cách viết này tạo ra hiệu quả gì mà cách viết thường không tạo ra được?,rhe.identify,Gọi tên biện pháp tu từ,"Đề trích một câu văn, câu thơ và hỏi biện pháp | Câu trích có hình ảnh lạ hoặc cấu trúc lặp","Kiểm tra theo thứ tự bốn nhóm: có từ so sánh không (như, tựa, là) → so sánh; có gán vật thành người không → nhân hóa; có gọi vật này bằng tên vật kia không → ẩn dụ hoặc hoán dụ; có lặp không → điệp.","1. Tìm từ so sánh trước tiên. → Đây là dấu hiệu hiển ngôn duy nhất; có nó thì gần như chắc chắn là so sánh. | 2. Nếu không có, xét xem có sự thay thế tên gọi không. → Ẩn dụ và hoán dụ đều là thay tên, khác nhau ở quan hệ. | 3. Phân biệt ẩn dụ (quan hệ tương đồng) với hoán dụ (quan hệ gần gũi, bộ phận – toàn thể). → ""Thuyền"" chỉ người đi xa là ẩn dụ; ""áo nâu"" chỉ nông dân là hoán dụ. | 4. Kiểm tra có lặp từ, lặp cấu trúc, hay tăng tiến không. → Điệp và liệt kê thường đi cùng các biện pháp khác trong một câu.","Một câu có thể mang nhiều biện pháp cùng lúc. Nếu bốn phương án đều có vẻ đúng, hãy chọn biện pháp NỔI BẬT nhất — thường là biện pháp tạo ra hình ảnh trung tâm của câu.","Nhầm ẩn dụ với hoán dụ. Hỏi ""giống nhau ở điểm nào"" — trả lời được là ẩn dụ; không giống mà chỉ đi liền nhau là hoán dụ."
Biện pháp tu từ & phong cách,Cách viết này tạo ra hiệu quả gì mà cách viết thường không tạo ra được?,rhe.effect,Phân tích tác dụng,"Câu hỏi có ""nhằm mục đích gì"", ""tác dụng của biện pháp"", ""hiệu quả nghệ thuật"" | Đề đã nêu sẵn tên biện pháp và chỉ hỏi phần tác dụng | Bốn phương án đều là các cụm nhận xét, không phải tên biện pháp","Công thức ba tầng: cụ thể hóa cái trừu tượng → nhấn mạnh một phẩm chất → gợi cảm xúc ở người đọc. Hầu như mọi tác dụng của mọi biện pháp đều rơi vào một trong ba tầng này, và một câu trả lời tốt chạm được cả ba.","1. Nói biện pháp làm hình ảnh nào trở nên cụ thể, sinh động. → Đây là tác dụng trực tiếp, dễ thấy nhất. | 2. Nói nó nhấn mạnh phẩm chất gì của đối tượng. → Nhà văn chọn biện pháp để làm nổi một nét cụ thể. | 3. Nói cảm xúc mà nó gợi ra ở người đọc. → Phần này phân biệt bài viết hay với bài viết đúng. | 4. Nối với tư tưởng chung của đoạn. → Biện pháp phục vụ chủ đề, không tồn tại độc lập.",Điệp ngữ luôn có ít nhất hai tác dụng: tạo nhịp và nhấn mạnh. Nêu cả hai thì câu trả lời đầy đủ hơn hẳn.,"Trả lời chung chung ""làm câu văn hay hơn, sinh động hơn"" mà không chỉ ra hay ở chỗ nào, sinh động ra sao."
Biện pháp tu từ & phong cách,Cách viết này tạo ra hiệu quả gì mà cách viết thường không tạo ra được?,rhe.style,Phong cách ngôn ngữ và phương thức biểu đạt,"Đề hỏi văn bản thuộc phong cách nào, dùng phương thức biểu đạt gì | Trích một đoạn báo chí, khoa học, hành chính, hoặc nghệ thuật","Nhận diện qua mục đích của văn bản: thông tin sự kiện (báo chí), trình bày tri thức (khoa học), điều hành (hành chính), bộc lộ và gợi cảm (nghệ thuật), trao đổi hằng ngày (sinh hoạt), thuyết phục (chính luận).","1. Hỏi: văn bản này viết ra để làm gì? → Mục đích quyết định phong cách, không phải đề tài. | 2. Nhìn lớp từ: thuật ngữ, khuôn mẫu hành chính, hay từ giàu hình ảnh? → Ngôn ngữ là bằng chứng cụ thể nhất. | 3. Nhìn cấu trúc: có đề mục, số hiệu, hay chảy tự do? → Hành chính và khoa học có cấu trúc rất đặc trưng. | 4. Với phương thức biểu đạt, xác định hành động chính: kể, tả, biểu cảm, nghị luận, thuyết minh hay hành chính. → Một văn bản có thể pha nhiều phương thức; chọn cái chủ đạo.",Phong cách và phương thức là hai câu hỏi khác nhau. Một bài báo (phong cách báo chí) có thể dùng phương thức tự sự. Đọc kỹ đề hỏi cái nào.,Nhầm phong cách nghệ thuật với mọi văn bản có hình ảnh đẹp. Một bài báo hay vẫn là phong cách báo chí.
Suy luận ngôn ngữ & liên kết ý,"Kết luận này có THỰC SỰ theo sau các tiền đề không, hay chỉ nghe có vẻ hợp lý?",log.valid,Kiểm tra tính hợp lệ của suy luận,"Đề cho vài mệnh đề rồi hỏi kết luận nào rút ra được | Có cấu trúc ""Mọi A đều là B. C là A. Vậy…""","Tách rõ tiền đề và kết luận, rồi hỏi: có tình huống nào mà mọi tiền đề đều đúng NHƯNG kết luận sai không? Tìm được một tình huống như vậy là suy luận không hợp lệ. Đây là phép thử duy nhất cần thiết.","1. Đánh số các tiền đề, khoanh tròn kết luận. → Đề thường trộn chúng lẫn nhau để gây rối. | 2. Vẽ sơ đồ tập hợp cho các mệnh đề ""mọi"", ""một số"", ""không"". → Vòng tròn Venn biến logic trừu tượng thành hình ảnh kiểm tra được. | 3. Thử tìm phản ví dụ: một cách vẽ mà tiền đề đúng, kết luận sai. → Một phản ví dụ đủ để bác bỏ. | 4. Không tìm được phản ví dụ sau vài lần thử → suy luận hợp lệ. → Với đề trắc nghiệm, mức chắc chắn này là đủ.","""Một số A là B"" KHÔNG suy ra ""một số A không là B"". Và ""mọi A là B"" không suy ra ""mọi B là A"". Hai lỗi đảo ngược này chiếm phần lớn phương án nhiễu.","Đánh giá suy luận theo việc kết luận có đúng trong thực tế hay không. Logic hỏi kết luận có THEO SAU tiền đề không, độc lập với sự thật."
Suy luận ngôn ngữ & liên kết ý,"Kết luận này có THỰC SỰ theo sau các tiền đề không, hay chỉ nghe có vẻ hợp lý?",log.arrange,"Bài toán sắp xếp, xác định vị trí","Đề cho một nhóm người/vật và các điều kiện về vị trí, thứ tự | Hỏi ai ngồi đâu, ai đứng thứ mấy","Lập bảng và điền dần từ điều kiện CHẮC CHẮN nhất. Điều kiện dạng ""A ở vị trí thứ 3"" mạnh hơn ""A đứng cạnh B"" — bắt đầu từ cái mạnh sẽ thu hẹp không gian nhanh nhất.","1. Vẽ bảng hoặc dãy ô trống theo số vị trí. → Không có khung thì không giữ nổi các ràng buộc trong đầu. | 2. Xếp các điều kiện theo độ mạnh, làm cái mạnh trước. → Mỗi ô được cố định làm giảm mạnh số khả năng còn lại. | 3. Đánh dấu cả điều kiện phủ định (X không ngồi ô này). → Loại trừ cũng có sức mạnh ngang khẳng định. | 4. Khi bí, giả sử một khả năng rồi suy tiếp cho tới khi mâu thuẫn. → Mâu thuẫn chứng minh giả sử sai, và bạn còn đúng một khả năng.","Với câu hỏi trắc nghiệm dạng này, đôi khi thử thẳng bốn phương án nhanh hơn suy luận xuôi — mỗi phương án chỉ cần kiểm tra có vi phạm điều kiện nào không.","Bỏ sót một điều kiện. Trước khi chốt, hãy rà lại toàn bộ danh sách điều kiện một lượt."
Suy luận ngôn ngữ & liên kết ý,"Kết luận này có THỰC SỰ theo sau các tiền đề không, hay chỉ nghe có vẻ hợp lý?",log.number,Suy luận số học và quy luật dãy,Đề cho một dãy số hoặc hình và hỏi số/hình tiếp theo | Có bảng số cần điền ô trống,Thử theo thứ tự: hiệu liên tiếp → thương liên tiếp → hiệu của hiệu → quy luật xen kẽ hai dãy con. Bốn phép thử này bao trọn gần như mọi dãy trong đề thi.,"1. Tính dãy hiệu giữa các số liên tiếp. → Quy luật cộng lộ ra ngay ở bước này. | 2. Nếu hiệu không đều, tính hiệu của dãy hiệu. → Dãy bậc hai có hiệu cấp hai không đổi. | 3. Thử thương nếu các số tăng nhanh. → Tăng theo cấp số nhân thì hiệu vô nghĩa nhưng thương thì đều. | 4. Nếu vẫn không ra, tách dãy thành hai dãy con vị trí chẵn và lẻ. → Dãy xen kẽ là dạng khó phổ biến trong đề HSA.","Nếu dãy có cả số tăng và số giảm xen nhau, gần như chắc chắn đó là hai dãy con đan xen. Tách ngay thay vì tìm một quy luật chung.",Cố tìm một quy luật phức tạp trong khi dãy chỉ đơn giản là hai dãy con.
Cơ học,"Vật này chịu những lực nào, và tổng của chúng làm nó chuyển động ra sao?",phy.kinematic,Chuyển động thẳng biến đổi đều,"Đề cho gia tốc, hoặc cho vận tốc đầu và cuối cùng thời gian | Có cụm ""từ trạng thái nghỉ"", ""hãm phanh"", ""rơi tự do""","Liệt kê năm đại lượng v₀, v, a, t, s rồi tìm công thức chứa đúng bốn đại lượng bạn có. Lý do: bốn công thức động học mỗi cái thiếu một đại lượng, nên chọn đúng công thức là bỏ được hoàn toàn bước trung gian.","1. Viết ra năm đại lượng, đánh dấu cái nào đã biết, cái nào cần tìm. → Bức tranh này chỉ thẳng ra công thức phải dùng. | 2. Chọn chiều dương và giữ nhất quán suốt bài. → Gia tốc hãm phanh mang dấu âm — sai dấu là sai toàn bộ. | 3. Chọn công thức không chứa đại lượng bạn thiếu. → Tránh phải giải hệ hai phương trình. | 4. Thay số với đơn vị chuẩn SI rồi kiểm tra thứ nguyên. → km/h phải đổi ra m/s trước khi dùng với a tính bằng m/s².",Công thức v² − v₀² = 2as không chứa thời gian — dùng nó mỗi khi đề không cho và không hỏi t. Đây là công thức tiết kiệm thời gian nhất trong nhóm.,"Quên đổi km/h sang m/s. Chia cho 3,6 là phản xạ phải có."
Cơ học,"Vật này chịu những lực nào, và tổng của chúng làm nó chuyển động ra sao?",phy.newton,Định luật Newton và lực,"Có nhiều lực tác dụng: kéo, ma sát, trọng lực, phản lực | Vật trên mặt phẳng nghiêng hoặc hệ hai vật nối bằng dây","Vẽ hình biểu diễn lực cho TỪNG vật riêng, chọn hệ trục, chiếu lên hai trục rồi viết ΣF = ma cho mỗi trục. Với hệ nhiều vật, mỗi vật một phương trình và lực căng dây là ẩn chung.","1. Vẽ riêng từng vật với đầy đủ lực tác dụng lên nó. → Trộn lực của hai vật vào một hình là nguồn sai lớn nhất. | 2. Chọn trục Ox theo hướng chuyển động. → Làm cho gia tốc chỉ có một thành phần, đơn giản hóa phương trình. | 3. Chiếu mọi lực lên hai trục, viết ΣF = ma cho từng trục. → Trục vuông góc với chuyển động cho phương trình về phản lực N. | 4. Giải hệ, chú ý lực ma sát F = μN với N lấy từ phương trình trục vuông góc. → N không phải lúc nào cũng bằng P — trên mặt nghiêng thì N = P·cos α.","Trên mặt phẳng nghiêng góc α: thành phần trọng lực dọc mặt là P·sin α, vuông góc mặt là P·cos α. Nhớ ""sin đi cùng chuyển động"" là không bao giờ lẫn.","Lấy N = P trên mặt phẳng nghiêng. N = P·cos α, nhỏ hơn P."
Cơ học,"Vật này chịu những lực nào, và tổng của chúng làm nó chuyển động ra sao?",phy.energy,"Công, năng lượng, bảo toàn","Đề hỏi vận tốc tại một vị trí mà không hỏi thời gian | Có độ cao, lò xo, hoặc cụm ""bỏ qua ma sát""","Dùng bảo toàn cơ năng thay vì động lực học. Lý do: bảo toàn năng lượng chỉ quan tâm trạng thái đầu và cuối, bỏ qua toàn bộ quá trình ở giữa — nên nó ngắn hơn nhiều khi đường đi phức tạp.","1. Chọn mốc thế năng, thường ở vị trí thấp nhất. → Mốc tự do chọn; chọn khéo thì một số hạng bằng 0. | 2. Viết cơ năng tại trạng thái đầu và trạng thái cuối. → Chỉ cần hai trạng thái, không cần quá trình. | 3. Cho hai cơ năng bằng nhau nếu bỏ qua ma sát. → Đó chính là nội dung định luật bảo toàn. | 4. Nếu có ma sát: hiệu cơ năng bằng công của lực ma sát. → Năng lượng không mất đi, nó chuyển thành nhiệt.",Đề hỏi vận tốc mà không nhắc tới thời gian là dấu hiệu gần như chắc chắn phải dùng năng lượng chứ không dùng động lực học.,Dùng bảo toàn cơ năng khi đề có ma sát mà không nói bỏ qua.
Dao động & sóng,"Dao động này có chu kỳ bao nhiêu, và ở li độ đó thì năng lượng phân bố thế nào?",osc.period,Chu kỳ và tần số,"Có con lắc lò xo hoặc con lắc đơn | Đề hỏi chu kỳ, tần số, hoặc hỏi chu kỳ thay đổi ra sao khi đổi khối lượng, chiều dài","Hai công thức gốc: con lắc lò xo T = 2π√(m/k), con lắc đơn T = 2π√(l/g). Điều quan trọng hơn công thức là biết đại lượng nào KHÔNG ảnh hưởng: chu kỳ con lắc lò xo không phụ thuộc biên độ, chu kỳ con lắc đơn không phụ thuộc khối lượng.","1. Xác định loại con lắc. → Hai công thức khác nhau hoàn toàn về đại lượng tham gia. | 2. Liệt kê đại lượng đề cho và đại lượng đề hỏi. → Nhiều câu hỏi chỉ về tỉ lệ, không cần tính số cụ thể. | 3. Với câu hỏi tỉ lệ: lập tỉ số hai chu kỳ để triệt tiêu hằng số. → Ngắn hơn nhiều so với tính từng chu kỳ. | 4. Chú ý căn bậc hai: tăng chiều dài gấp 4 thì chu kỳ chỉ gấp 2. → Quan hệ căn là chỗ đề cài bẫy.","Chu kỳ tỉ lệ với căn bậc hai. Muốn chu kỳ gấp đôi phải tăng khối lượng (hoặc chiều dài) gấp bốn. Phương án ""gấp đôi"" luôn có mặt và luôn sai.","Cho rằng biên độ ảnh hưởng chu kỳ. Với dao động điều hòa, nó không ảnh hưởng."
Dao động & sóng,"Dao động này có chu kỳ bao nhiêu, và ở li độ đó thì năng lượng phân bố thế nào?",osc.energy,Năng lượng trong dao động,"Đề hỏi động năng, thế năng tại một li độ | Có cụm ""tại vị trí có li độ bằng nửa biên độ""","Cơ năng W = ½kA² không đổi. Tại li độ x, thế năng W_t = ½kx², động năng là phần còn lại. Mọi câu hỏi loại này chỉ là phép trừ, không cần công thức riêng.","1. Viết cơ năng toàn phần theo biên độ. → Đây là hằng số của bài toán. | 2. Viết thế năng tại li độ đang xét. → Thế năng tỉ lệ với bình phương li độ. | 3. Động năng bằng cơ năng trừ thế năng. → Bảo toàn năng lượng, không cần công thức mới. | 4. Lập tỉ số nếu đề hỏi tỉ lệ. → Triệt tiêu k và A, còn lại quan hệ thuần giữa x và A.","Tại x = A/2, thế năng bằng 1/4 cơ năng và động năng bằng 3/4. Tại x = A/√2, hai loại năng lượng bằng nhau. Hai mốc này xuất hiện rất nhiều trong đề.","Cho rằng tại x = A/2 thì động năng bằng nửa cơ năng. Quan hệ là bình phương, không phải tuyến tính."
Dao động & sóng,"Dao động này có chu kỳ bao nhiêu, và ở li độ đó thì năng lượng phân bố thế nào?",osc.wave,Sóng cơ và giao thoa,"Đề nói về bước sóng, tốc độ truyền sóng, hai nguồn kết hợp | Hỏi số điểm cực đại, cực tiểu","Mọi bài sóng quy về hiệu đường đi. Cực đại khi hiệu đường đi bằng số nguyên lần bước sóng; cực tiểu khi bằng số bán nguyên lần. Đây là toàn bộ lý thuyết giao thoa gói trong một câu.","1. Tính bước sóng λ = v/f. → Mọi điều kiện giao thoa đều biểu diễn qua λ. | 2. Viết hiệu đường đi d₂ − d₁ tại điểm đang xét. → Đây là đại lượng quyết định điểm đó dao động mạnh hay yếu. | 3. Áp điều kiện: cực đại d₂ − d₁ = kλ; cực tiểu = (k + 0,5)λ. → Hai công thức này bao trọn mọi câu hỏi giao thoa. | 4. Với câu đếm số điểm: giới hạn k bằng độ dài đoạn cần xét. → Số điểm là số giá trị nguyên k thỏa mãn bất phương trình.","Số cực đại trên đoạn nối hai nguồn cách nhau L là số giá trị nguyên k thỏa −L/λ < k < L/λ. Đếm số nguyên trong khoảng là xong, không cần vẽ hình.",Nhầm hai nguồn cùng pha với ngược pha — điều kiện cực đại và cực tiểu đổi chỗ cho nhau.
