nhom,thang,chu_de_thang,tuan,thu,gio,nghi_thuc,ma_bai,tieu_de,tru_cot_ghi_trong_bai,tru_cot_chuan,care,co_binh_luan_ghim,cua_chuyen_tang,tep_nguon
G2,01,ket noi,4,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W04-T5-CHAME,Khen con thế nào để con không sợ thất bại?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W04-T6-KHOENHA,Một buổi tối rất bình thường của nhà mình,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W04-T7-CHOI,Săn tìm kho báu trong chính nhà mình — chơi thế nào?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-01-ket-noi.md
G2,01,ket noi,4,Chủ nhật,21:00,Bảng Vinh Danh · Khép Tháng,G2-W04-CN-TONGKET,Khép tháng đầu tiên — cộng đồng mình đã đi được tới đâu,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Có,G2-thang-01-ket-noi.md
G2,02,nuoi day,5,Thứ Hai,11:45,Bài nhẹ,G2-W05-T2-N,Buổi sáng nhà mình mất bao lâu để ra khỏi cửa?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W05-T2-NHIEMVU,Làm sao để buổi sáng nhà mình bớt hỗn loạn?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Ba,11:45,Bài nhẹ,G2-W05-T3-N,Con nhà mình tự làm được việc gì mà bố mẹ không ngờ?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W05-T3-BANAN,Làm sao để con kể về bạn bè ở lớp?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W05-T4-N,Thư viện gia đình — bốn bộ công cụ ở một chỗ,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W05-T4-TUTE,Dạy con xin lỗi thật lòng — không phải xin lỗi cho xong,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W05-T5-CHAME,Con ăn vạ giữa nơi đông người — làm gì trong 60 giây đầu?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W05-T6-KHOENHA,Một việc con tự làm được trong tuần này,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W05-T7-CHOI,Trò chơi nào giúp con bớt sợ thua?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,5,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W05-CN-VINHDANH,Tuần đầu của tháng Nuôi Dạy,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Hai,11:45,Bài nhẹ,G2-W06-T2-N,Tối nào nhà mình cũng phải ngồi kèm con học bài không?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W06-T2-NHIEMVU,Làm sao để con tự làm bài tập mà không phải ngồi kèm?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Ba,11:45,Bài nhẹ,G2-W06-T3-N,Bữa tối nhà mình ai là người nói nhiều nhất?,Hoạt động gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W06-T3-BANAN,Làm sao để người ít nói nhất nhà cũng được lên tiếng?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W06-T4-N,Nhật ký Cho là nhận — nhà nào đang đi tới ngày thứ mấy?,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W06-T4-TUTE,Cả nhà làm một việc cho người lớn tuổi ở gần nhà,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W06-T5-CHAME,"Con nói ""con ghét mẹ"" — phản ứng thế nào?",Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W06-T6-KHOENHA,Góc học bài của con nhà mình,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W06-T7-CHOI,Cả nhà cùng sửa một món đồ hỏng — chơi thế nào?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,6,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W06-CN-VINHDANH,Tuần thứ hai của tháng Nuôi Dạy,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Hai,11:45,Bài nhẹ,G2-W07-T2-N,Cuối tuần con nhà mình dùng điện thoại khoảng mấy tiếng?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W07-T2-NHIEMVU,Làm sao để con bớt phụ thuộc điện thoại vào cuối tuần?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Ba,11:45,Bài nhẹ,G2-W07-T3-N,"Hồi bằng tuổi con bây giờ, cuối tuần nhà mình làm gì?",Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W07-T3-BANAN,Hỏi thế nào để con dám nói ra điều con sợ?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W07-T4-N,Nhà nào chưa có Mã gia đình?,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W07-T4-TUTE,Con giúp một bạn ở lớp — khuyến khích thế nào mà không thành áp lực?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W07-T5-CHAME,Con tuổi dậy thì không chịu nói chuyện — mở lời thế nào?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W07-T6-KHOENHA,Khoảnh khắc anh chị chợt nhận ra con đã lớn,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W07-T7-CHOI,Cả nhà đi bộ 30 phút — biến thành trò chơi thế nào?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,7,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W07-CN-VINHDANH,Tuần thứ ba của tháng Nuôi Dạy,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Hai,11:45,Bài nhẹ,G2-W08-T2-N,Nhà mình có ai hay hứa rồi quên không?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W08-T2-NHIEMVU,Làm sao để cả nhà giữ lời hứa với nhau?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Ba,11:45,Bài nhẹ,G2-W08-T3-N,Nhà mình có câu nói cửa miệng nào không?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W08-T3-BANAN,Làm sao để con nói ra điều con biết ơn mà không thấy sáo?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W08-T4-N,Khép tháng — bốn bộ công cụ để mang sang tháng sau,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W08-T4-TUTE,Nhà mình giúp được nhà nào trong nhóm này?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W08-T5-CHAME,Anh chị em đánh nhau — xử lý thế nào cho công bằng?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W08-T6-KHOENHA,Bức ảnh của tháng Nuôi Dạy,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W08-T7-CHOI,Ngày hội nhỏ tại nhà — tổ chức thế nào trong một buổi sáng?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-02-nuoi-day.md
G2,02,nuoi day,8,Chủ nhật,21:00,Bảng Vinh Danh · Khép Tháng,G2-W08-CN-TONGKET,Khép tháng Nuôi Dạy — nhà mình đã đi được tới đâu,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Có,G2-thang-02-nuoi-day.md
G2,03,thinh vuong,9,Thứ Hai,11:45,Bài nhẹ,G2-W09-T2-N,Con nhà mình có biết bố mẹ kiếm tiền bằng cách nào không?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W09-T2-NHIEMVU,Làm sao để nói chuyện tiền bạc với con mà không làm con lo?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Ba,11:45,Bài nhẹ,G2-W09-T3-N,Nhà mình có cho con tiền tiêu vặt không?,Kỹ năng cha mẹ – vợ chồng,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W09-T3-BANAN,Hỏi thế nào để con hiểu một món đồ đáng bao nhiêu công?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W09-T4-N,Tháng mới — nhà nào chưa có Mã gia đình?,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W09-T4-TUTE,Cả nhà cùng cho đi một khoản nhỏ — làm thế nào cho con hiểu?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W09-T5-CHAME,"Dạy con tiêu tiền từ mấy tuổi, và bắt đầu thế nào?",Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W09-T6-KHOENHA,Món đồ nhà mình dùng lâu nhất,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W09-T7-CHOI,Trò chơi nào dạy con quản lý tiền trong 30 phút?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,9,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W09-CN-VINHDANH,Tuần đầu của tháng Thịnh vượng,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Hai,11:45,Bài nhẹ,G2-W10-T2-N,Nhà mình có việc gì tuần nào cũng làm không?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W10-T2-NHIEMVU,Làm sao để nhà mình có một nếp riêng?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Ba,11:45,Bài nhẹ,G2-W10-T3-N,Con nhà mình gọi ông bà là gì?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W10-T3-BANAN,Hỏi gì để con muốn biết về ông bà?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W10-T4-N,Nhật ký Cho là nhận — chặng mới cho tháng Thịnh vượng,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W10-T4-TUTE,Gia đình mình giúp một gia đình đang khó — làm sao cho tử tế?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W10-T5-CHAME,Giao việc nhà cho con theo tuổi nào là hợp lý?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W10-T6-KHOENHA,Nếp riêng của nhà mình,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W10-T7-CHOI,Lập cây gia phả cùng con — bắt đầu từ đâu?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,10,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W10-CN-VINHDANH,Tuần thứ hai — những nếp nhà vừa được gọi tên,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Hai,11:45,Bài nhẹ,G2-W11-T2-N,Nhà mình có truyền thống nào đã đứt không?,Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W11-T2-NHIEMVU,Làm sao giữ một truyền thống gia đình khi ai cũng bận?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Ba,11:45,Bài nhẹ,G2-W11-T3-N,Mười năm nữa nhà mình muốn vẫn còn giữ điều gì?,Hoạt động gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W11-T3-BANAN,Hỏi gì để con nói về tương lai của nhà mình?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W11-T4-N,Chỉ còn hai tuần nữa là khép mùa đầu tiên,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W11-T4-TUTE,Dạy con giữ lời với người ngoài — bắt đầu từ đâu?,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W11-T5-CHAME,Dạy con biết đủ trong thời đại cái gì cũng có quảng cáo,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W11-T6-KHOENHA,Truyền thống của nhà mình,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W11-T7-CHOI,Cả nhà cùng làm một dự án nhỏ — chọn gì và chia việc thế nào?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,11,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W11-CN-VINHDANH,Tuần thứ ba — những truyền thống vừa được nối lại,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Hai,11:45,Bài nhẹ,G2-W12-T2-N,"Nếu chỉ được để lại cho con một điều, anh chị để lại gì?",Câu chuyện gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W12-T2-NHIEMVU,Mình muốn để lại gì cho con?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Ba,11:45,Bài nhẹ,G2-W12-T3-N,Ba tháng qua nhà mình giữ được nhiệm vụ nào lâu nhất?,Hoạt động gia đình,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W12-T3-BANAN,Hỏi gì để con nói ra điều làm con thấy nhà mình là nhà?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W12-T4-N,Bốn bộ công cụ mang sang mùa hai,Mời nhận công cụ tầng 1,Cửa tầng 1 (công cụ miễn phí),CARE-1,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W12-T4-TUTE,Viết một lá thư cho con đọc mười năm sau,Câu chuyện gia đình,Giải mã & cơ chế,CARE-2,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W12-T5-CHAME,Dạy con đối diện với thất bại — nói gì trong lúc con vừa thua?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W12-T6-KHOENHA,Bức ảnh của cả mùa,Câu chuyện gia đình,Câu chuyện thật,CARE-3,Không,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W12-T7-CHOI,Làm một trang kỷ yếu của nhà mình,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-03-thinh-vuong.md
G2,03,thinh vuong,12,Chủ nhật,21:00,Tổng Kết Mùa · Kỷ Yếu,G2-W12-CN-TONGKET,Khép mùa đầu tiên — ba tháng của cộng đồng mình,Thi đua & vinh danh,Cộng đồng,CARE-3,Có,Có,G2-thang-03-thinh-vuong.md
G2,04,lan toa,13,Thứ Hai,11:45,Bài nhẹ,G2-W13-T2-N,Con nhà mình đã bao giờ cho ai cái gì chưa?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W13-T2-NHIEMVU,Nhiệm vụ tuần 13: cả nhà cho đi một thứ mình còn dùng được,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Ba,11:45,Bài nhẹ,G2-W13-T3-N,Ai trong nhà mình khó cho đi nhất?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W13-T3-BANAN,Câu hỏi bàn ăn: ai đã cho con một thứ mà con nhớ mãi?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W13-T4-N,Nhà mình có hộp cho đi chưa?,Kết nối & nghi thức,Cửa tầng 1 (công cụ miễn phí),CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W13-T4-TUTE,Dạy con cho đi ở từng độ tuổi — không giống nhau,Hoạt động gia đình,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W13-T5-CMTT,Khi con cho đi rồi tiếc — nên nói gì?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-4,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Sáu,19:45,Khoe Nhà Mình,G2-W13-T6-KHOE,Khoe nhà mình: món đồ nhà mình đã cho đi,Câu chuyện thật,Câu chuyện thật,CARE-5,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Thứ Bảy,08:00,Gia Đình Chơi Cùng Nhau,G2-W13-T7-CHOI,Trò chơi: Ngân hàng việc tốt,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-6,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,13,Chủ nhật,21:00,Bảng Vinh Danh Gia Đình,G2-W13-CN-VINHDANH,Bảng vinh danh tuần 13 — những nhà đã cho đi,Cộng đồng,Cộng đồng,CARE-7,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Hai,11:45,Bài nhẹ,G2-W14-T2-N,Tuần qua nhà mình giúp ai một việc chưa?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Hai,19:45,Nhiệm Vụ Gia Đình Tuần,G2-W14-T2-NHIEMVU,"Nhiệm vụ tuần 14: cả nhà giúp một người một việc, cùng nhau",Hoạt động gia đình,Kỹ năng & hoạt động,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Ba,11:45,Bài nhẹ,G2-W14-T3-N,Có ai đang cần nhà mình mà mình chưa để ý không?,Kết nối & nghi thức,Kết nối & nghi thức,CARE-1,Không,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Ba,17:30,Bàn Ăn Yêu Thương,G2-W14-T3-BANAN,Câu hỏi bàn ăn: nhà mình giúp được ai?,Hoạt động gia đình,Kỹ năng & hoạt động,CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Tư,11:45,Bài nhẹ · mời nhận công cụ,G2-W14-T4-N,Việc tốt nhỏ nhất nhà mình làm được hôm nay,Kết nối & nghi thức,Cửa tầng 1 (công cụ miễn phí),CARE-2,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Tư,19:45,Việc Tử Tế Của Gia Đình,G2-W14-T4-TUTE,Giúp người mà không làm họ mất mặt,Hoạt động gia đình,Giải mã & cơ chế,CARE-3,Có,Không,G2-thang-04-lan-toa.md
G2,04,lan toa,14,Thứ Năm,20:00,Cha Mẹ Tỉnh Thức,G2-W14-T5-CMTT,Con hỏi: sao mình phải giúp người ta?,Kỹ năng cha mẹ – vợ chồng,Giải mã & cơ chế,CARE-4,Có,Không,G2-thang-04-lan-toa.md
